incubator,location,incubee,current_incubatees,graduated_incubatees
PDEU Innovation and Incubation Centre,Gandhinagar Gujarat,https://www.startupindia.gov.in/content/sih/en/profile.Incubator.64181079e4b070b7ef29cac5.html,160,70
Vignan TBI,Guntur Andhra Pradesh,https://www.startupindia.gov.in/content/sih/en/profile.Incubator.64176096e4b070b7ef29ad0c.html,9,15
IPU Innovation & Incubation Foundation,South West Delhi Delhi,https://www.startupindia.gov.in/content/sih/en/profile.Incubator.6416c37ee4b070b7ef299448.html,0,0
Dr Ram Ghatak,South Delhi Delhi,https://www.startupindia.gov.in/content/sih/en/profile.Incubator.64158eb9e4b070b7ef295641.html,76,41
Marathwada Accelerator for Growth and Incubation Council,Aurangabad Maharashtra,https://www.startupindia.gov.in/content/sih/en/profile.Incubator.6415792ce4b070b7ef294c51.html,56,13
Vignan TBI,Guntur Andhra Pradesh,https://www.startupindia.gov.in/content/sih/en/profile.Incubator.64154296e4b070b7ef2932b8.html,60,30
Navotthan Startup Foundation,Kannauj Uttar Pradesh,https://www.startupindia.gov.in/content/sih/en/profile.Incubator.6414c629e4b070b7ef291b34.html,0,0
Sharda Launchpad Federation,Noida Uttar Pradesh,https://www.startupindia.gov.in/content/sih/en/profile.Incubator.64149863e4b070b7ef291018.html,72,30
Shobhit University,Meerut Uttar Pradesh,https://www.startupindia.gov.in/content/sih/en/profile.Incubator.64148b8fe4b070b7ef290c51.html,0,0
Udhmodya Foundation,Delhi Delhi,https://www.startupindia.gov.in/content/sih/en/profile.Incubator.6414536ee4b070b7ef28f9be.html,0,0
ACIC-Audisankara Innovation and Incubation centre,Gudur Andhra Pradesh,https://www.startupindia.gov.in/content/sih/en/profile.Incubator.64140071e4b070b7ef28cc2f.html,13,2
AIC Banasthali Vidyapith Foundation,Tonk Rajasthan,https://www.startupindia.gov.in/content/sih/en/profile.Incubator.6413fa27e4b070b7ef28c86e.html,30,100
AIC - SKU Confederation,Anantapur Andhra Pradesh,https://www.startupindia.gov.in/content/sih/en/profile.Incubator.64133ddee4b070b7ef28935e.html,37,11
KIIC,Kozhikode Kerala,https://www.startupindia.gov.in/content/sih/en/profile.Incubator.641336fce4b070b7ef2891e4.html,0,0
ASSOCIATION FOR HARNESSING INNOVATION AND ENTREPRENEURSHIP,Surat Gujarat,https://www.startupindia.gov.in/content/sih/en/profile.Incubator.6412bfdae4b070b7ef284e65.html,10,33
AIC-AMTZ MEDIVALLEY INCUBATION COUNCIL,Visakhapatnam Andhra Pradesh,https://www.startupindia.gov.in/content/sih/en/profile.Incubator.6412b5dee4b070b7ef284867.html,14,30
AIC BV Foundation,Patna Bihar,https://www.startupindia.gov.in/content/sih/en/profile.Incubator.6412af3de4b070b7ef2845e6.html,48,9
JISIC Foundation,Tiruvallur Tamil Nadu,https://www.startupindia.gov.in/content/sih/en/profile.Incubator.6412acd5e4b070b7ef2844be.html,0,0
Dr Praveen Kumar CEO FIST IIT Patna,Patna Bihar,https://www.startupindia.gov.in/content/sih/en/profile.Incubator.6411af59e4b070b7ef2809e7.html,0,0
Meraj Faheem,Hyderabad Telangana,https://www.startupindia.gov.in/content/sih/en/profile.Incubator.6411aca5e4b070b7ef2808d2.html,100,150
Medicaps Innovation and Incubation Foundation,Indore Madhya Pradesh,https://www.startupindia.gov.in/content/sih/en/profile.Incubator.6411a71be4b070b7ef2806a5.html,6,3
Sathyabama Technology Business Incubator,Chennai Tamil Nadu,https://www.startupindia.gov.in/content/sih/en/profile.Incubator.64118b78e4b05275a6b586e9.html,57,30
BIONEST-IASST (ISVEC),Guwahati Assam,https://www.startupindia.gov.in/content/sih/en/profile.Incubator.641189c1e4b05275a6b5864b.html,0,0
AIC Jyothy Institute of Technology Foundation,Bengaluru Urban Karnataka,https://www.startupindia.gov.in/content/sih/en/profile.Incubator.64118800e4b05275a6b5858b.html,50,18
Entrepreneurship Promotion and Incubation Council,Ambala Haryana,https://www.startupindia.gov.in/content/sih/en/profile.Incubator.64118791e4b05275a6b58578.html,27,15
AITH Incubation and Startup Foundation,Kanpur Nagar Uttar Pradesh,https://www.startupindia.gov.in/content/sih/en/profile.Incubator.64116f6de4b05275a6b57a98.html,0,0
Mizone,Kannur Kerala,https://www.startupindia.gov.in/content/sih/en/profile.Incubator.64116d55e4b05275a6b579c5.html,61,22
BSSS Incubation Centre,Bhopal Madhya Pradesh,https://www.startupindia.gov.in/content/sih/en/profile.Incubator.64116585e4b05275a6b5762b.html,13,13
Presidency Launch Pad Association,Bengaluru Rural Karnataka,https://www.startupindia.gov.in/content/sih/en/profile.Incubator.641146e6e4b05275a6b56a8f.html,0,0
Startify,Chennai Tamil Nadu,https://www.startupindia.gov.in/content/sih/en/profile.Incubator.6410f93be4b05275a6b5668a.html,4,4
CIED IUST Foundation,Pulwama Jammu and Kashmir,https://www.startupindia.gov.in/content/sih/en/profile.Incubator.6410111fe4b05275a6b533cc.html,15,2
TCE Technology Business Incubator,Madurai Tamil Nadu,https://www.startupindia.gov.in/content/sih/en/profile.Incubator.640fed79e4b05275a6b52972.html,14,18
Crescent Innovation and Incubation Council,Chennai Tamil Nadu,https://www.startupindia.gov.in/content/sih/en/profile.Incubator.640eec92e4b05275a6b4e81a.html,0,0
Parul Innovation and Entrepreneurship Research Center,Vadodara Gujarat,https://www.startupindia.gov.in/content/sih/en/profile.Incubator.640ed8afe4b05275a6b4de79.html,180,63
ASPIRE University of Hyderabad,Hyderabad Telangana,https://www.startupindia.gov.in/content/sih/en/profile.Incubator.640ecbc9e4b05275a6b4d7ce.html,60,20
Biopharma Incubation Center NIPER Ahmedabad,Gandhinagar Gujarat,https://www.startupindia.gov.in/content/sih/en/profile.Incubator.640ea430e4b05275a6b4c700.html,0,0
Women Innovation and Entrepreneurship Foundation,Gautam Buddha Nagar Uttar Pradesh,https://www.startupindia.gov.in/content/sih/en/profile.Incubator.640df3e8e4b05275a6b4a443.html,0,0
ACIC SGTU,Gurugram Haryana,https://www.startupindia.gov.in/content/sih/en/profile.Incubator.640c04e0e4b05275a6b3bf33.html,0,0
IIMV Foundation for Incubation Entrepreneurial Learning and Development,Visakhapatnam Andhra Pradesh,https://www.startupindia.gov.in/content/sih/en/profile.Incubator.640b1489e4b05275a6b38a66.html,92,52
BBB RCB Faridabad,Faridabad Haryana,https://www.startupindia.gov.in/content/sih/en/profile.Incubator.640acce6e4b05275a6b36ea0.html,23,10
Catalyst for Women Entrepreneurship,Bengaluru Karnataka,https://www.startupindia.gov.in/content/sih/en/profile.Incubator.64069c50e4b05275a6b2d7e7.html,4500,2763
Chandigarh University Technology Business Incubator,Mohali Punjab,https://www.startupindia.gov.in/content/sih/en/profile.Incubator.6405be64e4b05275a6b2aed9.html,146,28
CIPET CTEF INNOVEX,Bhubaneswar Odisha,https://www.startupindia.gov.in/content/sih/en/profile.Incubator.6405821ee4b05275a6b29239.html,11,1
IICE (Innovation & Incubation Centre for Entrepreneurship) BMU Surat,Navi Mumbai Maharashtra,https://www.startupindia.gov.in/content/sih/en/profile.Incubator.64033440e4b05275a6b1d089.html,0,0
Baba Farid School of Entrepreneurship,Bathinda Punjab,https://www.startupindia.gov.in/content/sih/en/profile.Incubator.640309aae4b05275a6b1b45b.html,5,3
AIC NIFTEA Incubation centre,Tiruppur Tamil Nadu,https://www.startupindia.gov.in/content/sih/en/profile.Incubator.6401dc02e4b05275a6b168bf.html,41,21
Bilaspur Incubation centre,Bilaspur Chhattisgarh,https://www.startupindia.gov.in/content/sih/en/profile.Incubator.6401a07fe4b05275a6b0e8a8.html,0,0
Vishnu Foundation TBI,Bhimavaram Andhra Pradesh,https://www.startupindia.gov.in/content/sih/en/profile.Incubator.64014075e4b05275a6af70ca.html,45,1
AAU Incubation Center,Anand Gujarat,https://www.startupindia.gov.in/content/sih/en/profile.Incubator.63ff2540e4b07770d05f12f5.html,31,24
SVCET TBI,Chittoor Andhra Pradesh,https://www.startupindia.gov.in/content/sih/en/profile.Incubator.63ff1a0ce4b07770d05f0d43.html,6,2
AIC Prestige Inspire Foundation,Indore Madhya Pradesh,https://www.startupindia.gov.in/content/sih/en/profile.Incubator.63ff161ae4b07770d05f0b65.html,45,8
IIT BHUBANESWAR RESEARCH AND ENTREPRENEURSHIP PARK,Bhubaneswar Odisha,https://www.startupindia.gov.in/content/sih/en/profile.Incubator.63feedc3e4b07770d05eecca.html,16,30
AIC BAMU FOUNDATION,Aurangabad Maharashtra,https://www.startupindia.gov.in/content/sih/en/profile.Incubator.63fddbe8e4b07770d05c71bb.html,0,0
Gwalior Smart City Incubation centre,Gwalior Madhya Pradesh,https://www.startupindia.gov.in/content/sih/en/profile.Incubator.63fdd7eae4b07770d05c703f.html,28,20
Satna Incubation Centre,Satna Madhya Pradesh,https://www.startupindia.gov.in/content/sih/en/profile.Incubator.63fd9c3fe4b0752eee01d0e5.html,0,0
accerator,Agra Uttar Pradesh,https://www.startupindia.gov.in/content/sih/en/profile.Incubator.63fd9954e4b0752eee01cff9.html,2,23
Vignana Jyothi Foundation for Entrepreneurial Excellence,Hyderabad Telangana,https://www.startupindia.gov.in/content/sih/en/profile.Incubator.63fc7fb9e4b0752eee019935.html,37,5
NCAM,Hyderabad Telangana,https://www.startupindia.gov.in/content/sih/en/profile.Incubator.63fc72c1e4b0752eee01940d.html,0,0
IIT Jodhpur Technology Innovation and Startup Center,Jodhpur Rajasthan,https://www.startupindia.gov.in/content/sih/en/profile.Incubator.63fc6ad7e4b0752eee01914d.html,0,0
MIET Incubation Forum,Meerut Uttar Pradesh,https://www.startupindia.gov.in/content/sih/en/profile.Incubator.63fc558be4b0752eee018856.html,87,14
VISHNU FOUNDATION TBI,Bhimavaram Andhra Pradesh,https://www.startupindia.gov.in/content/sih/en/profile.Incubator.63fb5dbae4b0752eee0168f3.html,0,0
VJTI Technology Business Incubator,Mumbai Maharashtra,https://www.startupindia.gov.in/content/sih/en/profile.Incubator.63f88a96e4b0752eee003fee.html,37,4
VJTI-Technology Business Incubator,Mumbai Maharashtra,https://www.startupindia.gov.in/content/sih/en/profile.Incubator.63f5d460e4b0752eedffbb55.html,57,4
a-IDEA ICAR NAARM,Ranga Reddy Telangana,https://www.startupindia.gov.in/content/sih/en/profile.Incubator.63f45dece4b0752eedff742b.html,49,64
SRiX_SR Innovation Exchange,Warangal Telangana,https://www.startupindia.gov.in/content/sih/en/profile.Incubator.63f34079e4b0e6f581bf04e0.html,136,46
IMI INCUBATION FOUNDATION,Bhubaneswar Odisha,https://www.startupindia.gov.in/content/sih/en/profile.Incubator.63f32688e4b0e6f581befcb7.html,10,1
AMET Centre for Entrepreneurship Innovation and Incubation,Chennai Tamil Nadu,https://www.startupindia.gov.in/content/sih/en/profile.Incubator.63ef6b82e4b0e6f581be924d.html,0,0
Tula's Technology Business Incubator Foundation (TTBIF),Dehradun Uttarakhand,https://www.startupindia.gov.in/content/sih/en/profile.Incubator.63ef50fde4b0e6f581be89a7.html,8,3
IISR ABI,Kozhikode Kerala,https://www.startupindia.gov.in/content/sih/en/profile.Incubator.63edbd7ce4b0e6f581be4341.html,25,35
IIMT BUSINESS INCUBATOR,Meerut Uttar Pradesh,https://www.startupindia.gov.in/content/sih/en/profile.Incubator.63ec8751e4b0e6f581be127d.html,5,1
TEXMiN TBI,Dhanbad Jharkhand,https://www.startupindia.gov.in/content/sih/en/profile.Incubator.63eb99f1e4b0e6f581bdf658.html,12,8
NIFT Foundation for Design Innovation,South Delhi Delhi,https://www.startupindia.gov.in/content/sih/en/profile.Incubator.63eb45aee4b082303da8d425.html,0,0
AIC-RNTU Foundation,Bhopal Madhya Pradesh,https://www.startupindia.gov.in/content/sih/en/profile.Incubator.63ea6564e4b082303da8b70f.html,131,45
Annamalai innovation and Incubation Research Foundation EDII,Cuddalore Tamil Nadu,https://www.startupindia.gov.in/content/sih/en/profile.Incubator.63e6825ce4b082303da833e3.html,31,6
STEP,Ghaziabad Uttar Pradesh,https://www.startupindia.gov.in/content/sih/en/profile.Incubator.63e62778e4b082303da82549.html,20,522
AIC GIM Foundation,North Goa Goa,https://www.startupindia.gov.in/content/sih/en/profile.Incubator.63e53f6ee4b082303da7fd5a.html,32,15
AIC BHU,Varanasi Uttar Pradesh,https://www.startupindia.gov.in/content/sih/en/profile.Incubator.63e4e48ce4b082303da7eefb.html,35,16
SONA INCUBATION FOUNDATION,Salem Tamil Nadu,https://www.startupindia.gov.in/content/sih/en/profile.Incubator.63e496b1e4b082303da7cf92.html,0,0
NRDC,South Delhi Delhi,https://www.startupindia.gov.in/content/sih/en/profile.Incubator.63e37ec2e4b082303da7a632.html,0,0
FOUNDATION FOR INNOVATORS IN SCIENCE AND TECHNOLOGY IIT PATNA,Patna Bihar,https://www.startupindia.gov.in/content/sih/en/profile.Incubator.63e352dbe4b082303da794ce.html,20,2
AI4ICPS.in (IIT Kharagpur AI4ICPS I Hub Foundation),Kharagpur West Bengal,https://www.startupindia.gov.in/content/sih/en/profile.Incubator.63e34dfde4b082303da792de.html,5,4
AIC Raise,Coimbatore Tamil Nadu,https://www.startupindia.gov.in/content/sih/en/profile.Incubator.63e3475be4b082303da79051.html,67,64
IIT Mandi iHub and HCI Foundation,Mandi Himachal Pradesh,https://www.startupindia.gov.in/content/sih/en/profile.Incubator.63e246eae4b082303da770cd.html,0,0
AIC STPI Bengaluru,Bengaluru Urban Karnataka,https://www.startupindia.gov.in/content/sih/en/profile.Incubator.63e1eb46e4b082303da749b9.html,46,2
KR Innovation Centre,Thoothukudi Tamil Nadu,https://www.startupindia.gov.in/content/sih/en/profile.Incubator.63db6dd3e4b03528c7e5112f.html,18,5
Navyug Navachar Foundation,Lucknow Uttar Pradesh,https://www.startupindia.gov.in/content/sih/en/profile.Incubator.63da53e0e4b03528c7e4eb2e.html,0,0
ISEED,Anand Gujarat,https://www.startupindia.gov.in/content/sih/en/profile.Incubator.63da104ae4b0d237b257c401.html,19,13
spic,Chandigarh Chandigarh,https://www.startupindia.gov.in/content/sih/en/profile.Incubator.63d7eccce4b0d237b2576944.html,15,12
Atal Incubation Centre - Manipal University Jaipur,Jaipur Rajasthan,https://www.startupindia.gov.in/content/sih/en/profile.Incubator.63d769bde4b0d237b2574210.html,41,18
Centre for Innovation Incubation and Entrepreneurship,Srinagar Jammu and Kashmir,https://www.startupindia.gov.in/content/sih/en/profile.Incubator.63c9072fe4b0a39b8f00dd9b.html,0,0
RAISE Foundation,Bijnor Uttar Pradesh,https://www.startupindia.gov.in/content/sih/en/profile.Incubator.63c8d77ae4b0a39b8f00cef2.html,0,0
Baba Farid School of Entrepreneurship,Bathinda Punjab,https://www.startupindia.gov.in/content/sih/en/profile.Incubator.63c648a9e4b0a39b8f005695.html,0,0
IIT Ropar Technology Business Incubator Foundation,Rupnagar Punjab,https://www.startupindia.gov.in/content/sih/en/profile.Incubator.63bceb62e4b08bd10c719aaa.html,0,0
OctaNE CoE STPI Guwahati, Uttar Pradesh,https://www.startupindia.gov.in/content/sih/en/profile.Incubator.63bc0141e4b08bd10c71818c.html,0,0
IKP EDEN,Bengaluru Karnataka,https://www.startupindia.gov.in/content/sih/en/profile.Incubator.63b6f2aee4b08bd10c701fc3.html,0,0
Sreenidhi ASCEND,Hyderabad Telangana,https://www.startupindia.gov.in/content/sih/en/profile.Incubator.63b67410e4b0efec669ff00a.html,0,0
IIT Patna Vishlesan I Hub Foundation,Patna Bihar,https://www.startupindia.gov.in/content/sih/en/profile.Incubator.63ad2bf9e4b0efec669d5d75.html,0,0
VGU-TBI Trust,Jaipur Rajasthan,https://www.startupindia.gov.in/content/sih/en/profile.Incubator.63a94c19e4b0fcfedea637b3.html,0,0
I-Hub Foundation for Cobotics,South Delhi Delhi,https://www.startupindia.gov.in/content/sih/en/profile.Incubator.63a94bb7e4b0fcfedea63798.html,0,0
RMKEC INCUBATION CENTER,Chennai Tamil Nadu,https://www.startupindia.gov.in/content/sih/en/profile.Incubator.63a92f16e4b0fcfedea62cfe.html,0,0
ACICKIF,Srivilliputhur Tamil Nadu,https://www.startupindia.gov.in/content/sih/en/profile.Incubator.63a69aefe4b0fcfedea5dfab.html,0,0
Sri Sairm Techno Incubator Foundation,Chennai Tamil Nadu,https://www.startupindia.gov.in/content/sih/en/profile.Incubator.63a54e84e4b0fcfedea57694.html,0,0
91 Springboard Business Hub Private Limited,Delhi Delhi,https://www.startupindia.gov.in/content/sih/en/profile.Incubator.63a02583e4b0e7b413b0fac1.html,0,0
NSUTIIF,South West Delhi Delhi,https://www.startupindia.gov.in/content/sih/en/profile.Incubator.639ad01ee4b018c322adb5fa.html,0,0
AIC-ISE Foundation,Mehsana Gujarat,https://www.startupindia.gov.in/content/sih/en/profile.Incubator.6399a9bce4b018c322ad48f3.html,0,0
TiLi Incubator,Aizawl Mizoram,https://www.startupindia.gov.in/content/sih/en/profile.Incubator.63988b14e4b018c322ad0f8b.html,0,0
AIC-DSU Innovation Foundation,Bengaluru Karnataka,https://www.startupindia.gov.in/content/sih/en/profile.Incubator.63985f95e4b018c322acfd2f.html,0,0
NGI TBI,Coimbatore Tamil Nadu,https://www.startupindia.gov.in/content/sih/en/profile.Incubator.6398401fe4b018c322acf015.html,0,0
Alsisar Impact Social Ventures Foundation,Mumbai Maharashtra,https://www.startupindia.gov.in/content/sih/en/profile.Incubator.639721ade4b018c322acbe4a.html,0,0
SIMAT TBI,Palakkad Kerala,https://www.startupindia.gov.in/content/sih/en/profile.Incubator.6395749ee4b018c322ac2867.html,0,0
TCE TBI,Madurai Tamil Nadu,https://www.startupindia.gov.in/content/sih/en/profile.Incubator.63946bd9e4b018c322abe441.html,0,0
4TUNE FACTORY FOUNDATION,Ernakulam Kerala,https://www.startupindia.gov.in/content/sih/en/profile.Incubator.63944a43e4b018c322abd5cb.html,0,0
ECH- Incubation Centre University of Rajasthan,Jaipur Rajasthan,https://www.startupindia.gov.in/content/sih/en/profile.Incubator.6394407ce4b018c322abd2b6.html,0,0
Meerut Udyami foundation,Meerut Uttar Pradesh,https://www.startupindia.gov.in/content/sih/en/profile.Incubator.6392ed59e4b018c322ab289f.html,0,0
EKTA TBI,Nadia West Bengal,https://www.startupindia.gov.in/content/sih/en/profile.Incubator.6392e325e4b018c322ab24fb.html,0,0
GIAN,Ahmedabad Gujarat,https://www.startupindia.gov.in/content/sih/en/profile.Incubator.6392e064e4b018c322ab2364.html,0,0
TISS Incube Foundation,Mumbai Maharashtra,https://www.startupindia.gov.in/content/sih/en/profile.Incubator.63921614e4b018c322aaf964.html,0,0
SELCO Foundation,Bengaluru Karnataka,https://www.startupindia.gov.in/content/sih/en/profile.Incubator.6391ceabe4b018c322aae6a6.html,0,0
Dr Renuka Sharma,Gautam Buddha Nagar Uttar Pradesh,https://www.startupindia.gov.in/content/sih/en/profile.Incubator.639055a7e4b0823353429a35.html,0,0
BUNDELKHAND INNOVATION AND INCUBATION CENTER FOUNDATION,Jhansi Uttar Pradesh,https://www.startupindia.gov.in/content/sih/en/profile.Incubator.63902cace4b0823353428a81.html,0,0
CUSATECH Foundation,Kochi Kerala,https://www.startupindia.gov.in/content/sih/en/profile.Incubator.638f4965e4b0823353426e2d.html,0,0
Incubator profile,Chandigarh Chandigarh,https://www.startupindia.gov.in/content/sih/en/profile.Incubator.638dd61fe4b0823353421cfe.html,0,0
Florence International,Howrah West Bengal,https://www.startupindia.gov.in/content/sih/en/profile.Incubator.63899629e4b08233533cd08c.html,0,0
WaterBank,Latehar Jharkhand,https://www.startupindia.gov.in/content/sih/en/profile.Incubator.63895054e4b0ec70add484a4.html,0,0
GVRIKSH,Delhi Delhi,https://www.startupindia.gov.in/content/sih/en/profile.Incubator.6388ae79e4b0ef90a8910e60.html,0,0
The/Nudge Institute,Bengaluru Karnataka,https://www.startupindia.gov.in/content/sih/en/profile.Incubator.63888510e4b0ef90a890ef5c.html,0,0
Surge Impact Foundation,Hyderabad Telangana,https://www.startupindia.gov.in/content/sih/en/profile.Incubator.63887bcbe4b0ef90a890e73a.html,0,0
IITJ Technology Innovation and Startup Center,Jodhpur Rajasthan,https://www.startupindia.gov.in/content/sih/en/profile.Incubator.6385ce25e4b0f9d1767cca99.html,0,0
Foundation for CfHE,Sangareddy Telangana,https://www.startupindia.gov.in/content/sih/en/profile.Incubator.63858afbe4b076174beb6a00.html,0,0
Ganesan incubation and entrepreneurship center,Kanchipuram Tamil Nadu,https://www.startupindia.gov.in/content/sih/en/profile.Incubator.638491a2e4b076174be3809f.html,0,0
Gujarat student startup and innovation hub,Ahmedabad Gujarat,https://www.startupindia.gov.in/content/sih/en/profile.Incubator.63848ca1e4b076174be37d6f.html,0,0
SSN Incubation Foundation,Chennai Tamil Nadu,https://www.startupindia.gov.in/content/sih/en/profile.Incubator.63847428e4b076174be36bef.html,0,0
SPARKL,Mathura Uttar Pradesh,https://www.startupindia.gov.in/content/sih/en/profile.Incubator.63805db4e4b09239eeffdad8.html,0,0
down town Venture Labs foundation,Guwahati Assam,https://www.startupindia.gov.in/content/sih/en/profile.Incubator.637f26d3e4b070042cbac43b.html,0,0
ACIC-BMU Foundation,Gurugram Haryana,https://www.startupindia.gov.in/content/sih/en/profile.Incubator.637f1234e4b070042cbaab82.html,0,0
Navsanchar Incubation and Centre for Entrepreneurship NICE REC Ambedkar Nagar,Ambedkar Nagar Uttar Pradesh,https://www.startupindia.gov.in/content/sih/en/profile.Incubator.637ca93ce4b027ddb8e7686d.html,0,0
WISE (DUK),Thiruvananthapuram Kerala,https://www.startupindia.gov.in/content/sih/en/profile.Incubator.637b5bc4e4b027ddb8e6afe7.html,0,0
WEneurs Forum,Bhubaneswar Odisha,https://www.startupindia.gov.in/content/sih/en/profile.Incubator.63791d17e4b027ddb8e5e746.html,0,0
National Forensic Sciences University (Forensic Innovation Center),Gandhinagar Gujarat,https://www.startupindia.gov.in/content/sih/en/profile.Incubator.6378b9d7e4b027ddb8e5b583.html,0,0
Foundation for Innovation and Social Entrepreneurship (Atal Incubation Centre),North West Delhi Delhi,https://www.startupindia.gov.in/content/sih/en/profile.Incubator.637731b1e4b035bad9e81331.html,0,0
KLE CTIE Centre for Technology Innovation and Entrepreneurship,Hubli-Dharwad Karnataka,https://www.startupindia.gov.in/content/sih/en/profile.Incubator.6375f16ee4b0a2c719d7d776.html,0,0
NITJ Technology Business Incubator,Jalandhar Punjab,https://www.startupindia.gov.in/content/sih/en/profile.Incubator.6375eb44e4b0a2c719d7d477.html,0,0
INCeNSE,Bengaluru Urban Karnataka,https://www.startupindia.gov.in/content/sih/en/profile.Incubator.63721236e4b0a5c9c6da1bd3.html,0,0
J-Hub JNTUH,Hyderabad Telangana,https://www.startupindia.gov.in/content/sih/en/profile.Incubator.636b7ee7e4b0561227f07aa6.html,0,0
The NorthCap Incubation and Innovation Centre,Karnal Haryana,https://www.startupindia.gov.in/content/sih/en/profile.Incubator.636924eee4b07236689a0b8d.html,0,0
SPARKLE CINE FOUNDATION,Mysuru Karnataka,https://www.startupindia.gov.in/content/sih/en/profile.Incubator.636914a1e4b07236689a07ab.html,0,0
TEST INC,Chandigarh Chandigarh,https://www.startupindia.gov.in/content/sih/en/profile.Incubator.6360e783e4b061300b76a229.html,0,0
Sanctuary of Innovation Incubation and Entrepreneurship (SIIE) SRISTI-BioNEST,Gandhinagar Gujarat,https://www.startupindia.gov.in/content/sih/en/profile.Incubator.635b9d8ce4b0d54a1df341bc.html,0,0
Hindusthan Innovative Product Development Centre,Coimbatore Tamil Nadu,https://www.startupindia.gov.in/content/sih/en/profile.Incubator.635a9982e4b0d54a1df2f3b1.html,0,0
DBU TBI Foundations Desh Bhagat University,Fatehgarh Sahib Punjab,https://www.startupindia.gov.in/content/sih/en/profile.Incubator.6350ee7de4b0d54a1df04e34.html,0,0
Dr APJ Abdul Kalam COE in Innovation and Entrepreneurship,Chennai Tamil Nadu,https://www.startupindia.gov.in/content/sih/en/profile.Incubator.6350e47ce4b0d54a1df04446.html,0,0
IIHMR Startups,Jaipur Rajasthan,https://www.startupindia.gov.in/content/sih/en/profile.Incubator.6350e135e4b0d54a1df04125.html,0,0
SSUInnovation Foundation,Cuttack Odisha,https://www.startupindia.gov.in/content/sih/en/profile.Incubator.634f8cd2e4b0d54a1defd127.html,0,0
Technology Innovation Foundation of IIT Palakkad(TECHIN),Palakkad Kerala,https://www.startupindia.gov.in/content/sih/en/profile.Incubator.6347ec5be4b0d54a1dedbd62.html,0,0
BSSS Incubation Centre,Bhopal Madhya Pradesh,https://www.startupindia.gov.in/content/sih/en/profile.Incubator.633ea447e4b05eb49aab1303.html,0,0
IIPH NIDHI TBI for Public Health Gandhinagar,Gandhinagar Gujarat,https://www.startupindia.gov.in/content/sih/en/profile.Incubator.63312e35e4b04d457fb24513.html,0,0
TBI NIT Calicut,Kozhikode Kerala,https://www.startupindia.gov.in/content/sih/en/profile.Incubator.632d7a92e4b04d457fb08b62.html,0,0
Biotechnology Incubation Centre,Shimla Himachal Pradesh,https://www.startupindia.gov.in/content/sih/en/profile.Incubator.63298826e4b0c03d803e8e5f.html,0,0
Guwahati Biotech Park Technology Incubation Centre,Guwahati Assam,https://www.startupindia.gov.in/content/sih/en/profile.Incubator.6325592ee4b098e7a2c713fb.html,0,0
Institution of Industrial Research and Development Confederation,Kochi Kerala,https://www.startupindia.gov.in/content/sih/en/profile.Incubator.6320f1aee4b0e011ae77d7a2.html,0,0
Atal Incubation Centre - Ambedkar University Delhi Foundation,North Delhi Delhi,https://www.startupindia.gov.in/content/sih/en/profile.Incubator.63204b9fe4b037441d067528.html,0,0
Startup Incubation and Innovation Centre UPTTI Kanpur,Kanpur Nagar Uttar Pradesh,https://www.startupindia.gov.in/content/sih/en/profile.Incubator.632019c0e4b071ab1c8922f5.html,0,0
The ICFAI Foundation for Higher Education Innovation & Entrepreneurship Council (IIEC),Hyderabad Telangana,https://www.startupindia.gov.in/content/sih/en/profile.Incubator.631ee3f9e4b09ac640f7cb58.html,0,0
DSEU,Delhi Delhi,https://www.startupindia.gov.in/content/sih/en/profile.Incubator.630dfe90e4b02cd717031963.html,0,0
Rural Business Incubator,Almora Uttarakhand,https://www.startupindia.gov.in/content/sih/en/profile.Incubator.630dcd5ee4b02cd71702f327.html,0,0
JNTUH TBI,Hyderabad Telangana,https://www.startupindia.gov.in/content/sih/en/profile.Incubator.63075927e4b080c62a86e7b3.html,0,0
Surbhi Gupta, Haryana,https://www.startupindia.gov.in/content/sih/en/profile.Incubator.63065ee7e4b080c62a868f86.html,0,0
IIT Ropar - Technology and Innovation Foundation (AWaDH),Rupnagar Punjab,https://www.startupindia.gov.in/content/sih/en/profile.Incubator.62c3df81e4b07b2cdee326fc.html,0,0
Centre for Agribusiness Incubation and Entrepreneurship,Gwalior Madhya Pradesh,https://www.startupindia.gov.in/content/sih/en/profile.Incubator.62beccb9e4b07b2cdedfe32a.html,0,0
Avishkaran the BioNEST of NIPER Hyderabad,Hyderabad Telangana,https://www.startupindia.gov.in/content/sih/en/profile.Incubator.62beac07e4b07b2cdedfbaa2.html,0,0
K L Technology Incubators Foundation,Vijayawada Andhra Pradesh,https://www.startupindia.gov.in/content/sih/en/profile.Incubator.62bd5541e4b07b2cdeded4ed.html,0,0
SHRI SHANKARACHARYA BUSINESS INCUBATOR FOUNDATION,Durg Chhattisgarh,https://www.startupindia.gov.in/content/sih/en/profile.Incubator.62bbe7cae4b07b2cdedddff3.html,0,0
ACIC GIET UNIVERSITY FOUNDATION,Rayagada Odisha,https://www.startupindia.gov.in/content/sih/en/profile.Incubator.62b01144e4b07b2cded8475e.html,0,0
E-Hub Mahindra University,Hyderabad Telangana,https://www.startupindia.gov.in/content/sih/en/profile.Incubator.62ac5effe4b07b2cded71afd.html,0,0
